date_utc,rail,campaign,wallet,reason
2026-09-03T01:35:54.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",0x68bb0c9329537a89800bf1df1f461223deb2007983d52f9b3aa7b5d9ad32176,"this mission filled up before your submission could be released — every slot has been paid to earlier submissions. This is not a judgement on your work"
2026-09-03T00:16:10.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",0x270f1135c91912cd47d8d434aaf8698d4a5fc32a525c3033b90aaa284a0b8de,"A tweet isn't a page: it shows no wallet address and doesn't name sagepays.xyz. Publish a short write-up on a durable page (dev.to, Medium, a GitHub gist, Notion, your own site) with your Starknet add"
2026-09-03T00:16:10.000Z,Starknet mainnet,"Testing campaign · sagepays.xyz",0x1b8e6cd39710d1efec6f7662a26c9170af2e52d6fbc88af7d0fd94979d5a3bf,"paste.rs is a temporary paste service and doesn't count as a published page. Republish the same write-up on a durable page (dev.to, Medium, a GitHub gist, Notion, your own site) with your wallet addre"
2026-08-27T01:04:58.000Z,GOAT Network mainnet,"Deliverable proof run",0x1417e32349Ae988de1896b0740C4592f545F6698,"this mission filled up before your submission could be released — every slot has been paid to earlier submissions. This is not a judgement on your work"
2026-08-25T00:49:11.000Z,GOAT Network mainnet,"Testing campaign · www.metis.io",0xDF70f6E8e656E5bb714fF0E8CA176d76F26890e3,"this mission filled up before your submission could be released — every slot has been paid to earlier submissions. This is not a judgement on your work"
2026-08-25T00:49:11.000Z,GOAT Network mainnet,"Testing campaign · www.metis.io",0xfE5b0B98B0bba934B3d5C99cde223998F3AF22eb,"this mission filled up before your submission could be released — every slot has been paid to earlier submissions. This is not a judgement on your work"
2026-08-18T12:08:43.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0x4B045366d074BEF5aFfe0e0361A5a4b06E9a6205,"this campaign ended and its budget was fully paid out, so nothing further can settle here. Not a judgement on your work - live missions that can pay are at sagepays.xyz/marketplace"
2026-08-18T12:08:43.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0x6C802e73E5CC77545F3165d089Fd43758a8D392b,"this campaign ended and its budget was fully paid out, so nothing further can settle here. Not a judgement on your work - live missions that can pay are at sagepays.xyz/marketplace"
2026-08-18T12:08:43.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0x80355a1a8db5c157a05734d4327170D2c8Ac7f69,"this campaign ended and its budget was fully paid out, so nothing further can settle here. Not a judgement on your work - live missions that can pay are at sagepays.xyz/marketplace"
2026-08-18T12:08:42.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0x72c001fF9D2fFE7d1bdF83e0aBe08C7126a234e5,"this campaign ended and its budget was fully paid out, so nothing further can settle here. Not a judgement on your work - live missions that can pay are at sagepays.xyz/marketplace"
2026-08-18T12:08:42.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0x07030d3d5703482F7c72c98bA6C33e4ff4A50aB7,"this campaign ended and its budget was fully paid out, so nothing further can settle here. Not a judgement on your work - live missions that can pay are at sagepays.xyz/marketplace"
2026-08-18T12:08:42.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0x1Bd33A82CE0274fd34d65B1525C364e65c6061B2,"this campaign ended and its budget was fully paid out, so nothing further can settle here. Not a judgement on your work - live missions that can pay are at sagepays.xyz/marketplace"
2026-08-18T12:08:41.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0xf6fD803EE31e8C3C9CB9a72E156C7B3dfe575caB,"this campaign ended and its budget was fully paid out, so nothing further can settle here. Not a judgement on your work - live missions that can pay are at sagepays.xyz/marketplace"
2026-08-18T12:08:41.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0xC6B1D8084ea4373131c3DD0CBE22B87F5B2617eF,"this campaign ended and its budget was fully paid out, so nothing further can settle here. Not a judgement on your work - live missions that can pay are at sagepays.xyz/marketplace"
2026-08-18T12:08:41.000Z,GOAT Network mainnet,"Break the Deputy — paid in real USDC",0xBa2D571a52523Bcf6c98525a75EdD346a84D7049,"this campaign ended and its budget was fully paid out, so nothing further can settle here. Not a judgement on your work - live missions that can pay are at sagepays.xyz/marketplace"
2026-08-16T04:40:58.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",0xc359bC06b60899087AAA90CF146342E12F58A6A1,"this mission filled up before your submission could be released — every slot has been paid to earlier submissions. This is not a judgement on your work"
2026-08-16T04:40:58.000Z,GOAT Network mainnet,"Testing campaign · sagepays.xyz",0xCd7f51CC99651353F80b6505592fe5088C2fA247,"this mission filled up before your submission could be released — every slot has been paid to earlier submissions. This is not a judgement on your work"
